Name,Data Origin,PMID
2063,Collaborator,This publication
2067,Collaborator,This publication
2078,Collaborator,This publication
2183,Collaborator,This publication
2203,Collaborator,This publication
3523,Collaborator,This publication
4365,Collaborator,This publication
4381,Collaborator,This publication
4438,Collaborator,This publication
20098,Collaborator,This publication
26497,Collaborator,This publication
27116,Collaborator,This publication
28137,Collaborator,This publication
29184,Collaborator,This publication
29817,Collaborator,This publication
30372,Collaborator,This publication
31479,Collaborator,This publication
32068,Collaborator,This publication
32153,Collaborator,This publication
32205,Collaborator,This publication
46149,Collaborator,This publication
47711,Collaborator,This publication
103764,Collaborator,This publication
111396,Collaborator,This publication
142661,Collaborator,This publication
142897,Collaborator,This publication
12zCTX,Collaborator,This publication
1541m1,Collaborator,This publication
1553m1,Collaborator,This publication
1560m1,Collaborator,This publication
1568m1,Collaborator,This publication
1585m1,Collaborator,This publication
1586m1,Collaborator,This publication
1605m1,Collaborator,This publication
1657m1,Collaborator,This publication
1680m1,Collaborator,This publication
1824H,Collaborator,This publication
2009_49,In-house,29966679
30CTX,Collaborator,This publication
9162ESCO,Collaborator,This publication
AD741,Collaborator,This publication
AD742,Collaborator,This publication
AVC193,In-house,30672731
CE145N,Collaborator,This publication
CE1568,Collaborator,This publication
CE1605,Collaborator,This publication
CE1606,Collaborator,This publication
CE1657,Collaborator,This publication
CE627,Collaborator,This publication
CE701N,Collaborator,This publication
CE70N,Collaborator,This publication
CE91,Collaborator,This publication
CFL3ctx,Collaborator,This publication
CN35ctx,Collaborator,This publication
DRR102547,Public,NA
DRR102553,Public,NA
DRR102992,Public,NA
DRR103028,Public,NA
DRR103038,Public,NA
DRR103054,Public,NA
DRR103113,Public,NA
DRR103134,Public,NA
DRR103151,Public,NA
DRR103167,Public,NA
DRR103192,Public,NA
DRR103261,Public,NA
E0407,Collaborator,This publication
Ec1493,Collaborator,This publication
Ec4011,Collaborator,This publication
Eco1211,Collaborator,This publication
EK2.29,In-house,32063888
EK3.44,In-house,32063888
ERR1417750,Public,NA
ERR1512396,Public,NA
ERR1512494,Public,NA
ERR1512522,Public,NA
ERR1656389,Public,NA
ERR1656401,Public,NA
ERR1656402,Public,NA
ERR1656403,Public,NA
ERR1656410,Public,NA
ERR1656416,Public,NA
ERR2019093,Public,NA
ERR2019113,Public,NA
ERR2019245,Public,NA
ERR2019258,Public,NA
ERR2027622,Public,NA
ERR2124232,Public,NA
ERR2124239,Public,NA
ERR2193922,Public,NA
ERR2205913,Public,NA
ERR2205967,Public,NA
ERR2205972,Public,NA
ERR2205997,Public,NA
ERR2205998,Public,NA
ERR2206023,Public,NA
ERR2820187,Public,NA
ERR2987523,Public,NA
ERR2987536,Public,NA
ERR2987547,Public,NA
ERR2987551,Public,NA
ERR2987552,Public,NA
ERR3040214,Public,NA
ERR3140352,Public,NA
ERR3328221,Public,NA
ERR3328477,Public,NA
ERR3328879,Public,NA
ERR3328932,Public,NA
ERR3328943,Public,NA
ERR3328953,Public,NA
ERR3328970,Public,NA
ERR3329001,Public,NA
ERR3329074,Public,NA
ERR3329258,Public,NA
ERR3329261,Public,NA
ERR3329361,Public,NA
ERR3330144,Public,NA
ERR3330200,Public,NA
ERR3330254,Public,NA
ERR3330277,Public,NA
ERR3330297,Public,NA
ERR3330300,Public,NA
ERR3330459,Public,NA
ERR3330562,Public,NA
ERR3330583,Public,NA
ERR3333501,Public,NA
ERR3333503,Public,NA
ERR3333512,Public,NA
ERR3333534,Public,NA
ERR3333550,Public,NA
ERR3333582,Public,NA
