accession	message	sample_name	sample_title	bioproject_accession	organism	strain	isolate	host	isolation_source	collection_date	geo_loc_name	sample_type	altitude	biomaterial_provider	collected_by	culture_collection	depth	env_broad_scale	genotype	host_tissue_sampled	identified_by	lab_host	lat_lon	mating_type	passage_history	samp_size	serotype	serovar	specimen_voucher	temp	description
SAMN19016820	Successfully loaded	IBIS_34	IBIS_34		Escherichia coli	IBIS_34			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016821	Successfully loaded	IBIS_40	IBIS_40		Escherichia coli	IBIS_40			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016822	Successfully loaded	IBIS_38	IBIS_38		Escherichia coli	IBIS_38			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016823	Successfully loaded	IBIS_42	IBIS_42		Escherichia coli	IBIS_42			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016824	Successfully loaded	IBIS_27	IBIS_27		Escherichia coli	IBIS_27			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016825	Successfully loaded	IBIS_37	IBIS_37		Escherichia coli	IBIS_37			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016826	Successfully loaded	IBIS_33	IBIS_33		Escherichia coli	IBIS_33			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016827	Successfully loaded	IBIS_31	IBIS_31		Escherichia coli	IBIS_31			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016828	Successfully loaded	IBIS_25	IBIS_25		Escherichia coli	IBIS_25			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016829	Successfully loaded	IBIS_61	IBIS_61		Escherichia coli	IBIS_61			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016830	Successfully loaded	IBIS_54	IBIS_54		Escherichia coli	IBIS_54			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016831	Successfully loaded	IBIS_53	IBIS_53		Escherichia coli	IBIS_53			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016832	Successfully loaded	IBIS_59	IBIS_59		Escherichia coli	IBIS_59			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016833	Successfully loaded	IBIS_45	IBIS_45		Escherichia coli	IBIS_45			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016834	Successfully loaded	IBIS_56	IBIS_56		Escherichia coli	IBIS_56			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016835	Successfully loaded	IBIS_28	IBIS_28		Escherichia coli	IBIS_28			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016836	Successfully loaded	IBIS_55	IBIS_55		Escherichia coli	IBIS_55			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016837	Successfully loaded	IBIS_39	IBIS_39		Escherichia coli	IBIS_39			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016838	Successfully loaded	IBIS_52	IBIS_52		Escherichia coli	IBIS_52			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016839	Successfully loaded	IBIS_36	IBIS_36		Escherichia coli	IBIS_36			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016840	Successfully loaded	IBIS_43	IBIS_43		Escherichia coli	IBIS_43			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016841	Successfully loaded	IBIS_57	IBIS_57		Escherichia coli	IBIS_57			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016842	Successfully loaded	IBIS_35	IBIS_35		Escherichia coli	IBIS_35			Wild Animal	2012	Australia	Isolate			Dr Kate Brandis				ST58												
SAMN19016843	Successfully loaded	AVC193	AVC193		Escherichia coli	AVC193			Companion Animal	2011	Australia	Isolate			Glen Browning				ST58												
SAMN19016844	Successfully loaded	ESBL20170358	ESBL20170358		Escherichia coli	ESBL20170358			Human	2019	Denmark	Isolate			Henrik Hasman				ST58												
SAMN19016845	Successfully loaded	ESBL20160204	ESBL20160204		Escherichia coli	ESBL20160204			Human	2019	Denmark	Isolate			Henrik Hasman				ST58												
SAMN19016846	Successfully loaded	ESBL20170243	ESBL20170243		Escherichia coli	ESBL20170243			Human	2019	Denmark	Isolate			Henrik Hasman				ST58												
SAMN19016847	Successfully loaded	ESBL20180309	ESBL20180309		Escherichia coli	ESBL20180309			Human	2019	Denmark	Isolate			Henrik Hasman				ST58												
SAMN19016848	Successfully loaded	ESBL20140011	ESBL20140011		Escherichia coli	ESBL20140011			Human	2019	Denmark	Isolate			Henrik Hasman				ST58												
SAMN19016849	Successfully loaded	ESBL20180248	ESBL20180248		Escherichia coli	ESBL20180248			Human	2019	Denmark	Isolate			Henrik Hasman				ST58												
SAMN19016850	Successfully loaded	ESBL20150330	ESBL20150330		Escherichia coli	ESBL20150330			Human	2019	Denmark	Isolate			Henrik Hasman				ST58												
SAMN19016851	Successfully loaded	ESBL20150343	ESBL20150343		Escherichia coli	ESBL20150343			Human	2019	Denmark	Isolate			Henrik Hasman				ST58												
SAMN19016852	Successfully loaded	ESBL20170337	ESBL20170337		Escherichia coli	ESBL20170337			Human	2019	Denmark	Isolate			Henrik Hasman				ST58												
