Gene,Non-unique Gene name,Annotation,No. isolates
Cluster_22530,,,752
Cluster_19358,,,752
Cluster_15556,,,752
Cluster_22514,,,752
Cluster_18597,,,752
Cluster_18324,,,752
Cluster_10485,,,752
Cluster_10716,,,752
Cluster_22135,,,752
Cluster_13040,,,752
Cluster_12590,,,752
Cluster_19140,,,752
Cluster_11149,,,752
Cluster_18315,,,752
Cluster_11255,,,752
Cluster_22388,,,752
Cluster_21263,,,752
Cluster_13951,,,752
Cluster_22531,,,752
Cluster_12395,,,752
Cluster_21786,,,752
Cluster_9345,,,752
Cluster_8375,,,752
Cluster_15419,,,752
Cluster_8560,,,752
Cluster_18317,,,752
Cluster_17445,,,752
Cluster_19042,,,752
Cluster_12086,,,752
Cluster_14133,,,752
Cluster_18319,,,752
Cluster_3749,,,752
Cluster_20446,,,752
Cluster_15952,,,752
Cluster_19953,,,752
Cluster_10022,,,752
Cluster_18860,,,752
Cluster_11823,,,752
Cluster_18134,,,752
Cluster_9556,,,752
Cluster_14785,,,752
Cluster_12764,,,752
Cluster_18510,,,752
Cluster_15623,,,752
Cluster_21389,,,752
Cluster_5599,,,752
Cluster_12810,,,752
Cluster_20242,,,752
Cluster_20940,,,752
Cluster_22247,,,752
Cluster_18176,,,752
Cluster_15337,,,752
Cluster_18603,,,752
Cluster_17618,,,752
Cluster_21265,,,752
Cluster_16848,,,752
Cluster_20448,,,752
Cluster_9921,,,752
Cluster_13069,,,752
Cluster_18504,,,752
Cluster_14193,,,752
Cluster_12765,,,752
Cluster_9914,,,752
Cluster_21650,,,752
Cluster_16401,,,752
Cluster_10017,,,752
Cluster_21069,,,752
Cluster_22381,,,752
Cluster_14860,,,752
Cluster_20138,,,752
Cluster_18962,,,752
Cluster_18422,,,752
Cluster_16397,,,752
Cluster_22005,,,752
Cluster_6346,,,752
Cluster_19347,,,752
Cluster_16112,,,752
Cluster_16935,,,752
Cluster_2831,,,752
Cluster_6264,,,752
Cluster_18797,,,752
Cluster_10167,,,752
Cluster_16619,,,752
Cluster_16944,,,752
Cluster_13600,,,752
Cluster_14144,,,752
Cluster_5158,,,752
Cluster_20751,,,752
Cluster_16700,,,752
Cluster_22518,,,752
Cluster_18458,,,752
Cluster_12338,,,752
Cluster_9037,,,752
Cluster_19952,,,752
Cluster_22002,,,752
Cluster_19852,,,752
Cluster_12482,,,752
