"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"Cluster_9266","","","312","9","27","404","92.03539823008849","97.82082324455206","518.716049382716","2.670971555327487e-164","5.871329672920883e-160","5.742190958357776e-160"
"Cluster_10845","","","26","403","313","10","7.669616519174041","2.4213075060532687","0.0020612181799443473","5.2244481469909705e-164","1.1484381916715553e-159","5.742190958357776e-160"
"Cluster_10376","","","293","0","46","413","86.4306784660767","100.0","inf","2.709649097831056e-160","5.956350646852227e-156","1.985450215617409e-156"
"Cluster_15746","","","299","4","40","409","88.20058997050147","99.0314769975787","764.31875","4.803410005769389e-158","1.0558855874682271e-153","2.6397139686705677e-154"
"Cluster_20048","","","290","0","49","413","85.54572271386431","100.0","inf","2.4014779880494828e-157","5.278928913330373e-153","1.0557857826660747e-153"
"Cluster_15056","","","45","409","294","4","13.274336283185843","0.9685230024213075","0.00149693129085375","5.782224798735454e-153","1.2710486552580275e-148","2.118414425430046e-149"
"Cluster_11102","","","47","408","292","5","13.864306784660767","1.2106537530266344","0.001972535589578297","2.8787784253615637e-149","6.328130734629789e-145","7.910163418287236e-146"
"Cluster_11152","","","292","5","47","408","86.13569321533923","98.78934624697337","506.9617021276596","2.8787784253615637e-149","6.328130734629789e-145","7.910163418287236e-146"
"Cluster_11660","","","289","4","50","409","85.25073746312685","99.0314769975787","591.005","4.2358623676072406e-148","9.311272656474236e-144","1.0345858507193596e-144"
"Cluster_8442","","","290","5","49","408","85.54572271386431","98.78934624697337","482.9387755102041","2.4655966769577746e-147","5.41987461528858e-143","5.419874615288579e-144"
"Cluster_7191","","","48","407","291","6","14.15929203539823","1.4527845036319613","0.002431672534765318","1.1913992070260816e-146","2.6189337368847324e-142","2.380848851713393e-143"
"Cluster_21394","","","62","413","277","0","18.289085545722713","0.0","0.0","2.464645023118673e-145","5.417782689819467e-141","4.51481890818289e-142"
"Cluster_6686","","","42","401","297","12","12.389380530973451","2.9055690072639226","0.004231844630847125","9.550967904526557e-144","2.099493764773028e-139","1.6149952036715599e-140"
"Cluster_2796","","","288","9","51","404","84.95575221238938","97.82082324455206","253.49019607843138","3.0925000451220864e-139","6.797933599187371e-135","4.539211697358699e-136"
"Cluster_1667","","","15","368","324","45","4.424778761061947","10.895883777239709","0.005661231884057971","3.0974513447539118e-139","6.808817546038048e-135","4.539211697358699e-136"
"Cluster_6577","","","44","396","295","17","12.979351032448378","4.116222760290557","0.0064030131826741995","2.109829596393636e-135","4.637827418792491e-131","2.898642136745307e-132"
"Cluster_7029","","","47","398","292","15","13.864306784660767","3.631961259079903","0.006066290355889035","5.651801212200026e-135","1.2423789424658099e-130","7.30811142626947e-132"
"Cluster_11313","","","260","0","79","413","76.69616519174042","100.0","inf","3.8019458532650813e-131","8.357437374647302e-127","4.643020763692946e-128"
"Cluster_16703","","","14","356","325","57","4.129793510324483","13.801452784503631","0.006897147796024201","2.119621040959394e-130","4.65935097223694e-126","2.452289985387863e-127"
"Cluster_15006","","","259","0","80","413","76.40117994100295","100.0","inf","2.3429491320732583e-130","5.150270782123436e-126","2.4525098962492554e-127"
"Cluster_16551","","","259","0","80","413","76.40117994100295","100.0","inf","2.3429491320732583e-130","5.150270782123436e-126","2.4525098962492554e-127"
"Cluster_16263","","","257","0","82","413","75.81120943952803","100.0","inf","8.625735490302185e-129","1.8961091754782264e-124","8.618678070355574e-126"
"Cluster_5284","","","256","0","83","413","75.51622418879056","100.0","inf","5.154656389385243e-128","1.133096567514664e-123","4.926506815281148e-125"
"Cluster_6373","","","48","392","291","21","14.15929203539823","5.084745762711865","0.008836524300441826","5.666577489238711e-127","1.2456270636844534e-122","5.190112765351889e-124"
"Cluster_10147","","","251","0","88","413","74.04129793510324","100.0","inf","3.3923069329280767e-124","7.456969099962498e-120","2.9827876399849994e-121"
"Cluster_10702","","","290","23","49","390","85.54572271386431","94.43099273607749","100.35492457852706","7.259600406334002e-124","1.5958053613203404e-119","6.137712928155155e-121"
"Cluster_7408","","","304","38","35","375","89.67551622418878","90.79903147699758","85.71428571428571","1.5267451766126006e-122","3.3560912472298184e-118","1.242996758233266e-119"
"Cluster_15875","","","261","5","78","408","76.99115044247787","98.78934624697337","273.04615384615386","2.746113188908174e-122","6.0365060118579485e-118","2.1558950042349815e-119"
"Cluster_15761","","","88","412","251","1","25.958702064896755","0.24213075060532688","0.0008509650717518276","7.053019148931711e-122","1.5503946693181687e-117","5.346188514890237e-119"
"Cluster_15756","","","48","387","291","26","14.15929203539823","6.2953995157385","0.011081808252750474","1.3930247188665277e-121","3.0621469370124014e-117","1.0207156456708005e-118"
