Isolates,Level 1,Level 2
103764,1,1
111396,2,5
12zCTX,6,37
142661,2,5
142897,2,5
1541m1,5,27
1553m1,5,27
1560m1,5,27
1568m1,5,27
1585m1,5,27
1586m1,5,27
1605m1,5,27
1657m1,5,27
1680m1,5,27
1824H,2,16
20098,2,5
2009_49,2,5
2063,6,34
2067,6,34
2078,2,5
2183,2,9
2203,2,5
26497,2,7
27116,2,5
28137,6,36
29184,2,5
29817,6,40
30372,1,1
30CTX,4,22
31479,1,1
32068,5,29
32153,2,5
32205,2,5
3523,5,30
4365,4,23
4381,1,1
4438,4,23
46149,2,5
47711,2,5
9162ESCO,2,7
AD741,2,7
AD742,3,20
AVC193,2,5
CE145N,6,34
CE1568,5,27
CE1605,2,9
CE1606,2,9
CE1657,2,9
CE627,4,21
CE701N,4,23
CE70N,6,34
CE91,4,21
CFL3ctx,2,7
CN35ctx,6,38
DRR102547,4,25
DRR102553,6,36
DRR102992,5,28
DRR103028,6,33
DRR103038,6,32
DRR103054,6,36
DRR103113,1,2
DRR103134,1,2
DRR103151,6,34
DRR103167,5,28
DRR103192,4,25
DRR103261,6,34
E0407,2,5
EK2.29,6,32
EK3.44,6,32
ERR1417750,6,33
ERR1512396,5,30
ERR1512494,2,5
ERR1512522,2,5
ERR1656389,2,7
ERR1656401,2,7
ERR1656402,2,7
ERR1656403,2,7
ERR1656410,2,7
ERR1656416,2,7
ERR2019093,6,33
ERR2019113,2,5
ERR2019245,2,5
ERR2019258,6,42
ERR2027622,2,5
ERR2124232,2,5
ERR2124239,5,28
ERR2193922,2,5
ERR2205913,2,9
ERR2205967,2,5
ERR2205972,5,29
ERR2205997,2,9
ERR2205998,2,9
ERR2206023,2,9
ERR2820187,2,5
ERR2987523,4,21
ERR2987536,4,23
ERR2987547,2,7
ERR2987551,2,7
ERR2987552,2,7
ERR3040214,6,32
ERR3140352,4,21
ERR3328221,4,21
ERR3328477,5,28
ERR3328879,6,34
ERR3328932,6,34
ERR3328943,6,35
ERR3328953,6,34
ERR3328970,2,5
ERR3329001,6,34
ERR3329074,6,35
ERR3329258,6,42
ERR3329261,6,33
ERR3329361,6,34
ERR3330144,5,31
ERR3330200,6,34
ERR3330254,5,28
ERR3330277,6,33
ERR3330297,3,19
ERR3330300,5,30
ERR3330459,6,37
ERR3330562,6,34
ERR3330583,2,5
ERR3333501,4,25
ERR3333503,1,2
ERR3333512,1,1
ERR3333534,2,7
ERR3333550,6,34
ERR3333582,3,18
ERR3333594,6,33
ERR3333606,4,25
ERR3333607,3,19
ESBL20140011,2,7
ESBL20140051,2,7
ESBL20140168,2,5
ESBL20140304,2,7
ESBL20150330,2,7
ESBL20150343,2,7
ESBL20160204,2,5
ESBL20160351,2,7
ESBL20160365,2,7
ESBL20170243,2,5
ESBL20170337,2,7
ESBL20170358,2,5
ESBL20170423,2,7
ESBL20180248,2,5
ESBL20180309,2,5
ESBL_Ecoli_2.64,2,9
ESBL_Ecoli_4.03,2,5
Ec1493,6,34
Ec4011,6,34
Eco1211,2,5
HOS48,2,5
HP107,2,4
HP131,4,22
HP144,2,4
HP149,4,22
HP150,2,7
HP40,2,4
HP41,2,5
HP71,1,1
HP79,2,4
HP89,2,4
HP90,2,4
HPG4,1,1
HPG79,4,22
HPG98,4,22
IBIS_25,5,28
IBIS_27,5,28
IBIS_28,5,28
IBIS_31,5,28
IBIS_33,5,28
IBIS_34,5,28
IBIS_35,5,28
IBIS_36,5,28
IBIS_37,5,28
IBIS_38,5,28
IBIS_39,5,28
IBIS_40,5,28
IBIS_42,5,28
IBIS_43,5,28
IBIS_45,5,28
IBIS_52,5,28
IBIS_53,5,28
IBIS_54,5,28
IBIS_55,5,28
IBIS_56,5,28
IBIS_57,5,28
IBIS_59,5,28
IBIS_61,5,28
IMT17513,2,5
IMT17548,2,5
IMT17550,2,5
IMT17572,4,22
IMT18276,2,5
IMT18579,2,4
IMT18614,2,5
IMT19550,2,5
IMT20106,2,5
IMT21439,2,5
IMT24109,2,7
IMT24815,2,13
Liv24,1,1
Liv26,1,1
Liv48,1,1
Liv89,2,5
MI-12-184,2,5
MI-12-427,2,9
MI-12-604,4,21
MI-12-654,2,9
MOD1-EC5019,9,47
OT_ESBL_0359,6,33
OT_ESBL_0441,2,5
OT_ESBL_1040,5,28
RE1,2,11
RE12,2,11
RE13,2,11
RE14,2,11
RE15,2,11
RE16,2,11
RE17,2,11
RE18,2,11
RE2,2,11
RE3,2,11
RE5,2,11
RE8,2,11
SH12c,2,7
SH30c,2,7
SH5c,2,7
SRR10024307,2,7
SRR10040058,6,40
SRR10040861,6,40
SRR10049353,6,38
SRR10049720,6,40
SRR10072297,2,5
SRR10072308,6,34
SRR10098854,2,9
SRR10098865,6,33
SRR10107308,6,40
SRR10107309,6,40
SRR10107310,6,40
SRR10107311,6,40
SRR10107312,6,40
SRR10107323,5,29
SRR10107328,6,40
SRR10107330,5,29
SRR10107331,5,29
SRR10139656,2,4
SRR10139813,2,4
SRR10140394,2,7
SRR10140404,2,5
SRR10152561,2,5
SRR10156121,2,5
SRR10156126,6,36
SRR10186409,2,7
SRR10186984,2,10
SRR10186998,2,4
SRR10187053,6,35
SRR10225098,6,36
SRR10225101,2,5
SRR10225109,6,36
SRR10240841,2,7
SRR10247475,3,20
SRR10258879,6,32
SRR10267810,2,9
SRR10298225,2,7
SRR10298226,4,22
SRR10325511,2,5
SRR10343262,2,5
SRR10357563,5,29
SRR10360576,5,29
SRR10420697,1,1
SRR10434797,6,34
SRR10437364,2,4
SRR10501703,2,5
SRR10502058,5,29
SRR10503790,2,5
SRR10503802,2,4
SRR10536667,2,4
SRR1177189,2,5
SRR1177217,2,5
SRR1177252,2,5
SRR1177279,2,5
SRR1177290,2,5
SRR1177572,2,5
SRR1177594,2,5
SRR1177604,4,23
SRR1177607,2,5
SRR1177624,2,5
SRR1177636,2,5
SRR1178266,2,7
SRR1181552,2,9
SRR1207494,2,7
SRR1269417,6,40
SRR1301202,2,5
SRR1314369,4,21
SRR1314427,2,5
SRR1916392,2,5
SRR2085672,6,34
SRR2133202,2,4
SRR2970157,6,36
SRR2970186,6,34
SRR2970193,2,7
SRR2970205,6,36
SRR2970220,6,34
SRR2970231,6,42
SRR2970232,6,37
SRR2970276,6,35
SRR2970277,6,35
SRR2970284,6,35
SRR3050911,4,21
SRR3050951,2,5
SRR3057121,2,5
SRR3098765,2,4
SRR3136837,3,18
SRR3143601,2,5
SRR3156766,3,18
SRR3156776,4,21
SRR3173518,1,1
SRR3184067,2,7
SRR3457725,2,11
SRR3465476,4,21
SRR3465478,2,7
SRR3466362,3,18
SRR3466373,3,18
SRR3466375,6,37
SRR3466376,6,34
SRR3578579,2,5
SRR3579396,6,33
SRR3657449,7,45
SRR3931199,6,40
SRR3951497,6,32
SRR3957074,2,12
SRR3957089,4,24
SRR3957186,1,1
SRR3971186,5,29
SRR3972131,6,32
SRR3972148,6,32
SRR3972151,4,24
SRR3972555,4,24
SRR3972844,6,36
SRR3972934,5,28
SRR3977094,8,46
SRR3987498,6,32
SRR3987507,3,18
SRR3987534,1,1
SRR3987539,6,34
SRR3987568,4,24
SRR3987644,1,1
SRR3987648,3,18
SRR3987673,6,33
SRR3987689,6,35
SRR3987746,6,33
SRR3987912,6,33
SRR3987972,3,17
SRR3987979,6,34
SRR3988135,6,44
SRR3988167,6,40
SRR3989506,6,40
SRR3989588,6,40
SRR3989763,4,21
SRR3989769,6,37
SRR3993799,6,32
SRR3993844,6,32
SRR4046411,2,6
SRR4260153,6,36
SRR4263664,5,28
SRR4294821,6,38
SRR4294822,6,38
SRR4294894,6,38
SRR4301122,6,36
SRR4301123,6,35
SRR4340433,5,28
SRR5004156,2,5
SRR5030800,2,5
SRR5031173,6,39
SRR5120224,6,40
SRR5181652,6,35
SRR5187806,3,18
SRR5217722,1,1
SRR5330816,2,5
SRR5330817,6,37
SRR5330902,2,9
SRR5341918,4,24
SRR5341919,6,32
SRR5341958,6,32
SRR5445232,6,35
SRR5459141,4,24
SRR5470823,6,38
SRR5660166,2,7
SRR5660167,2,7
SRR5762158,2,7
SRR5890288,1,2
SRR5890300,2,7
SRR5901513,6,35
SRR5912882,6,34
SRR5943571,2,7
SRR5943573,2,5
SRR5956527,6,34
SRR6039943,6,34
SRR6039958,5,30
SRR6039966,6,32
SRR6039969,2,5
SRR6051639,6,34
SRR6121975,2,8
SRR6121983,2,7
SRR6121985,2,5
SRR6219699,6,35
SRR6219715,6,37
SRR6219724,6,41
SRR6219924,5,28
SRR6231915,6,37
SRR6231921,2,3
SRR6231923,4,22
SRR6231935,2,6
SRR6231942,5,31
SRR6231944,2,7
SRR6238136,2,4
SRR6238390,5,31
SRR6238424,2,5
SRR6292462,3,18
SRR6292465,2,7
SRR6292797,2,5
SRR6292813,2,5
SRR6314306,2,5
SRR6372968,2,7
SRR6373478,2,5
SRR6373495,2,6
SRR6376579,2,9
SRR6376580,2,5
SRR6376582,2,9
SRR6376586,4,22
SRR6376593,2,9
SRR6376595,2,9
SRR6376596,2,9
SRR6376598,2,9
SRR640055,4,24
SRR6409915,2,4
SRR6412356,2,11
SRR6412375,2,9
SRR6426901,2,5
SRR6427137,2,3
SRR6427410,2,7
SRR6438327,5,31
SRR6438329,6,39
SRR6441144,2,5
SRR6441170,1,1
SRR6441236,6,33
SRR6497954,2,5
SRR6497963,2,5
SRR6505023,6,34
SRR6505046,2,6
SRR6505050,4,21
SRR6681083,2,5
SRR6681176,6,34
SRR6683918,1,1
SRR6701906,2,6
SRR6713394,2,5
SRR6713428,2,5
SRR6713463,6,37
SRR6724040,2,5
SRR6724042,2,5
SRR6724044,2,5
SRR6724076,2,7
SRR6726710,6,32
SRR6764074,6,40
SRR6764085,6,40
SRR6764086,6,40
SRR6764105,6,40
SRR6764128,6,40
SRR6764142,6,40
SRR6764213,2,9
SRR6787576,1,1
SRR6810047,2,7
SRR6818532,2,7
SRR6818568,6,35
SRR6844212,1,1
SRR6844253,2,6
SRR6876311,2,5
SRR6876312,2,5
SRR6930653,2,10
SRR6933174,2,9
SRR6973045,6,41
SRR6973073,6,34
SRR6986355,2,4
SRR7009031,2,7
SRR7064595,2,7
SRR7065404,6,39
SRR7084525,2,5
SRR7084884,6,32
SRR7095754,4,21
SRR7095770,2,5
SRR7130336,2,11
SRR7135448,3,17
SRR7135463,6,40
SRR7140568,2,5
SRR7140583,2,6
SRR7140597,6,34
SRR7140611,6,38
SRR7140620,4,26
SRR7154649,2,5
SRR7192408,4,22
SRR7221526,2,7
SRR7230146,5,29
SRR7257344,2,4
SRR7263703,2,5
SRR7284856,2,5
