Uberstrain	Name	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Disease	Date Entered	Release Date	Barcode	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Differences	ST	HC0 (indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC1100 (cgST Cplx)	HC2350 (subsp.)
ESC_AA7747AA	AZ-TG71543	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	29/7/15	ESC_AA7747AA	SRR2133202;ILLUMINA;Paired;500;SRX1123567	Poultry	Avian	packaged turkey	2009	10			North America	United States	Illinois						PRJNA230968	SRP038995	SAMN02463308	SRS1016072	NaN	17555	17555	17555	17555	17555	17555	17555	1186	1186	106	106	1
ESC_AA7755AA	AZ-TG73335	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	29/7/15	ESC_AA7755AA	"SRR1544291;ILLUMINA;Paired;500;SRX675747,SRR2133152;ILLUMINA;Paired;500;SRX1123517"	Poultry	Avian	Whole Chicken Breast	2013	7			North America	United States	Arkansas						PRJNA230968	SRP038995	SAMN02628588	SRS679393	NaN	17549	17549	17549	17549	17549	17549	17549	17549	1060	106	106	1
ESC_AA8220AA	AZ-TG71411	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	6/7/15	ESC_AA8220AA	SRR2085672;ILLUMINA;Paired;500;SRX1079817	Livestock	Bovine	Ground Beef	2009	10			North America	United States	District of Columbia	District of Columbia	Washington		38.9	-76.9	PRJNA230968	SRP038995	SAMN02463275	SRS977775	NaN	17168	17168	17168	17168	17168	17168	17168	17168	1060	106	106	1
ESC_BA1857AA	AZ_TG77026	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	16/3/15	ESC_BA1857AA	SRR1916392;ILLUMINA;Paired;500;SRX957281	Poultry	Avian	lean ground turkey	2014	11			North America	United States	District of Columbia	District of Columbia	Washington		38.9	-76.9	PRJNA230968	SRP038995	SAMN03295438	SRS874688	NaN	14180	14180	14180	14180	14180	14180	11664	1186	1186	106	106	1
ESC_BA5152AA	upec-203	UNIVERSITY OF WASHINGTON	Escherichia coli									27/8/15	26/10/14	ESC_BA5152AA	SRR1314427;ILLUMINA;Paired;;SRX560444	Human	Human	patient with urinary tract infection; Homo sapiens	2011				North America	United States	Washington						PRJNA248737	SRP042632	SAMN02802024	SRS624740	NaN	11916	11916	11916	11916	11916	11916	8338	1186	1186	106	106	1
ESC_BA5210AA	upec-151	UNIVERSITY OF WASHINGTON	Escherichia coli									27/8/15	26/10/14	ESC_BA5210AA	SRR1314369;ILLUMINA;Paired;;SRX560386	Human	Human	patient with urinary tract infection; Homo sapiens	2011				North America	United States	Washington						PRJNA248737	SRP042632	SAMN02801966	SRS624682	NaN	20195	11880	11880	11880	11880	11880	11880	11880	6277	106	106	1
ESC_BA5499AA	AZ-TG73483	BaseSpace	Escherichia coli									27/8/15	7/6/14	ESC_BA5499AA	SRR1301202;ILLUMINA;Paired;;SRX554848	Poultry	Avian	Skinless Boneless Chicken Breast	2013	7			North America	United States	Louisiana						PRJNA230968	SRP038995	SAMN02628625	SRS622152	NaN	11664	11664	11664	11664	11664	11664	11664	1186	1186	106	106	1
ESC_BA8137AA	AZ-TG73563	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	2/5/14	ESC_BA8137AA	SRR1269417;ILLUMINA;Paired;500;SRX532327	Poultry	Avian	Skinless Boneless Chicken Breast	2013	7			North America	United States	California						PRJNA230968	SRP038995	SAMN02628645	SRS601298	NaN	19860	9402	9402	9402	9402	9402	9402	9402	1060	106	106	1
ESC_BA8242AA	AZ-TG73219	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	29/3/14	ESC_BA8242AA	SRR1207494;ILLUMINA;Paired;500;SRX503025	Poultry	Avian	Skinless Boneless Chicken Breast	2013	7			North America	United States	Alabama						PRJNA230968	SRP038995	SAMN02628559	SRS583842	NaN	16037	9301	9301	9301	9301	9301	5233	1186	1186	106	106	1
ESC_BA8632AA	AZ-TG56421	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	Escherichia coli									27/8/15	2/3/14	ESC_BA8632AA	SRR1181552;ILLUMINA;Paired;500;SRX480389	Poultry	Avian	packaged whole turkey	2013	2			North America	United States	Arizona	Coconino County	Flagstaff		35.2	-111.5	PRJNA230968	SRP038995	SAMN02442840	SRS565328	NaN	19760	9048	9048	9048	9048	9048	9048	9048	3838	106	106	1
