Uberstrain,Name,Lab Contact,Species,Serological Group,Serotype,EcoR Cluster,Path/Nonpath,Simple Patho,Simple Disease,Comment,Disease,Date Entered,Release Date,Barcode,Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status),Source Niche,Source Type,Source Details,Collection Year,Collection Month,Collection Day,Collection Time,Continent,Country,Region,District,City,Post Code,Latitude,Longitude,Bio Project ID,Project ID,Sample ID,Secondary Sample ID,Clermont Type (ClermonTyping),Clermont Type (EzClermont),fimH (fimTyper)
ESC_AA7747AA,AZ-TG71543,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,29/7/15,ESC_AA7747AA,SRR2133202;ILLUMINA;Paired;500;SRX1123567,Poultry,Avian,packaged turkey,2009,10,,,North America,United States,Illinois,,,,,,PRJNA230968,SRP038995,SAMN02463308,SRS1016072,B1,,fimH27
ESC_AA7755AA,AZ-TG73335,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,29/7/15,ESC_AA7755AA,"SRR2133152;ILLUMINA;Paired;500;SRX1123517,SRR1544291;ILLUMINA;Paired;500;SRX675747",Poultry,Avian,Whole Chicken Breast,2013,7,,,North America,United States,Arkansas,,,,,,PRJNA230968,SRP038995,SAMN02628588,SRS679393,B1,,fimH31
ESC_AA8220AA,AZ-TG71411,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,6/7/15,ESC_AA8220AA,SRR2085672;ILLUMINA;Paired;500;SRX1079817,Livestock,Bovine,Ground Beef,2009,10,,,North America,United States,District of Columbia,District of Columbia,Washington,,38.9,-76.9,PRJNA230968,SRP038995,SAMN02463275,SRS977775,B1,B1,fimH24
ESC_BA1857AA,AZ_TG77026,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,16/3/15,ESC_BA1857AA,SRR1916392;ILLUMINA;Paired;500;SRX957281,Poultry,Avian,lean ground turkey,2014,11,,,North America,United States,District of Columbia,District of Columbia,Washington,,38.9,-76.9,PRJNA230968,SRP038995,SAMN03295438,SRS874688,B1,B1,fimH32
ESC_BA5152AA,upec-203,UNIVERSITY OF WASHINGTON,Escherichia coli,,,,,,,,,27/8/15,26/10/14,ESC_BA5152AA,SRR1314427;ILLUMINA;Paired;;SRX560444,Human,Human,patient with urinary tract infection; Homo sapiens,2011,,,,North America,United States,Washington,,,,,,PRJNA248737,SRP042632,SAMN02802024,SRS624740,B1,,fimH32
ESC_BA5210AA,upec-151,UNIVERSITY OF WASHINGTON,Escherichia coli,,,,,,,,,27/8/15,26/10/14,ESC_BA5210AA,SRR1314369;ILLUMINA;Paired;;SRX560386,Human,Human,patient with urinary tract infection; Homo sapiens,2011,,,,North America,United States,Washington,,,,,,PRJNA248737,SRP042632,SAMN02801966,SRS624682,B1,,Unknown
ESC_BA5499AA,AZ-TG73483,BaseSpace,Escherichia coli,,,,,,,,,27/8/15,7/6/14,ESC_BA5499AA,SRR1301202;ILLUMINA;Paired;;SRX554848,Poultry,Avian,Skinless Boneless Chicken Breast,2013,7,,,North America,United States,Louisiana,,,,,,PRJNA230968,SRP038995,SAMN02628625,SRS622152,B1,,fimH32
ESC_BA8137AA,AZ-TG73563,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,2/5/14,ESC_BA8137AA,SRR1269417;ILLUMINA;Paired;500;SRX532327,Poultry,Avian,Skinless Boneless Chicken Breast,2013,7,,,North America,United States,California,,,,,,PRJNA230968,SRP038995,SAMN02628645,SRS601298,B1,,fimH32
ESC_BA8242AA,AZ-TG73219,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,29/3/14,ESC_BA8242AA,SRR1207494;ILLUMINA;Paired;500;SRX503025,Poultry,Avian,Skinless Boneless Chicken Breast,2013,7,,,North America,United States,Alabama,,,,,,PRJNA230968,SRP038995,SAMN02628559,SRS583842,B1,B1,fimH27
ESC_BA8632AA,AZ-TG56421,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,2/3/14,ESC_BA8632AA,SRR1181552;ILLUMINA;Paired;500;SRX480389,Poultry,Avian,packaged whole turkey,2013,2,,,North America,United States,Arizona,Coconino County,Flagstaff,,35.2,-111.5,PRJNA230968,SRP038995,SAMN02442840,SRS565328,B1,,fimH32
ESC_BA8652AA,AZ-TG60304,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,27/2/14,ESC_BA8652AA,SRR1178266;ILLUMINA;Paired;500;SRX477353,Poultry,Avian,packaged whole turkey,2013,3,,,North America,United States,Arizona,Coconino County,Flagstaff,,35.2,-111.5,PRJNA230968,SRP038995,SAMN02442852,SRS563021,B1,,fimH54
ESC_BA8670AA,AZ-TG59899,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,26/2/14,ESC_BA8670AA,SRR1177636;ILLUMINA;Paired;500;SRX476737,Poultry,Avian,packaged whole turkey,2013,3,,,North America,United States,Arizona,Coconino County,Flagstaff,,35.2,-111.5,PRJNA230968,SRP038995,SAMN02442777,SRS562456,B1,B1,fimH27
ESC_BA8673AA,AZ-TG59935,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,26/2/14,ESC_BA8673AA,SRR1177624;ILLUMINA;Paired;500;SRX476726,Poultry,Avian,packaged whole turkey,2013,3,,,North America,United States,Arizona,Coconino County,Flagstaff,,35.2,-111.5,PRJNA230968,SRP038995,SAMN02442780,SRS562445,B1,,fimH27
ESC_BA8677AA,AZ-TG59923,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,26/2/14,ESC_BA8677AA,SRR1177607;ILLUMINA;Paired;500;SRX476710,Poultry,Avian,packaged whole turkey,2013,3,,,North America,United States,Arizona,Coconino County,Flagstaff,,35.2,-111.5,PRJNA230968,SRP038995,SAMN02442779,SRS562429,B1,B1,fimH27
ESC_BA8678AA,AZ-TG60413,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,26/2/14,ESC_BA8678AA,SRR1177604;ILLUMINA;Paired;500;SRX476708,Poultry,Avian,packaged whole turkey,2013,4,,,North America,United States,Arizona,Coconino County,Flagstaff,,35.2,-111.5,PRJNA230968,SRP038995,SAMN02442830,SRS562427,B1,B1,fimH24
ESC_BA8681AA,AZ-TG59971,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,26/2/14,ESC_BA8681AA,SRR1177594;ILLUMINA;Paired;500;SRX476698,Poultry,Avian,packaged whole turkey,2013,3,,,North America,United States,Arizona,Coconino County,Flagstaff,,35.2,-111.5,PRJNA230968,SRP038995,SAMN02442783,SRS562417,B1,B1,fimH27
ESC_BA8688AA,AZ-TG59995,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,26/2/14,ESC_BA8688AA,SRR1177572;ILLUMINA;Paired;500;SRX476677,Poultry,Avian,packaged whole turkey,2013,3,,,North America,United States,Arizona,Coconino County,Flagstaff,,35.2,-111.5,PRJNA230968,SRP038995,SAMN02442785,SRS562396,B1,,fimH27
ESC_BA8696AA,AZ-TG59947,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,26/2/14,ESC_BA8696AA,SRR1177290;ILLUMINA;Paired;500;SRX476479,Poultry,Avian,packaged whole turkey,2013,3,,,North America,United States,Arizona,Coconino County,Flagstaff,,35.2,-111.5,PRJNA230968,SRP038995,SAMN02442781,SRS562248,B1,B1,fimH27
ESC_BA8701AA,AZ-TG59911,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,26/2/14,ESC_BA8701AA,SRR1177279;ILLUMINA;Paired;500;SRX476467,Poultry,Avian,packaged whole turkey,2013,3,,,North America,United States,Arizona,Coconino County,Flagstaff,,35.2,-111.5,PRJNA230968,SRP038995,SAMN02442778,SRS562237,B1,B1,fimH27
ESC_BA8705AA,AZ-TG60007,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,26/2/14,ESC_BA8705AA,SRR1177252;ILLUMINA;Paired;500;SRX476440,Poultry,Avian,packaged whole turkey,2013,3,,,North America,United States,Arizona,Coconino County,Flagstaff,,35.2,-111.5,PRJNA230968,SRP038995,SAMN02442786,SRS562218,B1,,fimH27
ESC_BA8707AA,AZ-TG59959,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,26/2/14,ESC_BA8707AA,SRR1177217;ILLUMINA;Paired;500;SRX476405,Poultry,Avian,packaged whole turkey,2013,3,,,North America,United States,Arizona,Coconino County,Flagstaff,,35.2,-111.5,PRJNA230968,SRP038995,SAMN02442782,SRS562176,B1,B1,fimH27
ESC_BA8709AA,AZ-TG59983,"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION",Escherichia coli,,,,,,,,,27/8/15,26/2/14,ESC_BA8709AA,SRR1177189;ILLUMINA;Paired;500;SRX476378,Poultry,Avian,packaged whole turkey,2013,3,,,North America,United States,Arizona,Coconino County,Flagstaff,,35.2,-111.5,PRJNA230968,SRP038995,SAMN02442784,SRS562158,B1,,fimH27
ESC_BA9244AA,KOEGE 33 (68a),Broad Institute,Escherichia coli,,,,,,,,,27/8/15,28/8/13,ESC_BA9244AA,"SRR785679;ILLUMINA;Paired;180;SRX251379,SRR785680;ILLUMINA;Paired;180;SRX251379,SRR958496;ILLUMINA;Paired;5000;SRX340481,SRR958497;ILLUMINA;Paired;5000;SRX340481",Human,Human,Homo sapiens; Urine,2006,,,,Europe,Denmark,,,,,,,PRJNA186260,SRP019622,SAMN01885870,SRS402250,B1,B1,fimH27
ESC_CA1429AA,KTE136,Broad Institute,Escherichia coli,,,,,,,,,27/8/15,28/12/12,ESC_CA1429AA,"SRR641838;ILLUMINA;Paired;452;SRX172385,SRR640055;ILLUMINA;Paired;157;SRX154792,SRR640064;ILLUMINA;Paired;157;SRX154792,SRR642251;ILLUMINA;Paired;452;SRX172385",Human,Human,Homo sapiens; female,2010,,,,Europe,Denmark,,,,,,,PRJNA164981,SRP020713,SAMN00854671,SRS410331,B1,,fimH1325
ESC_CA4495AA,FSIS 210104592,FDA,Escherichia coli,,,,,,,,,12/12/15,3/12/15,ESC_CA4495AA,SRR2970284;ILLUMINA;Paired;;SRX1459511,Livestock,Bovine,Animal-Cattle-Dairy Cow,2014,7,,,North America,United States,Pennsylvania,,,,,,PRJNA292667,SRP066916,SAMN04293429,SRS1186835,B1,B1,fimH54
ESC_CA4502AA,FSIS 210119425,FDA,Escherichia coli,,,,,,,,,12/12/15,3/12/15,ESC_CA4502AA,SRR2970277;ILLUMINA;Paired;;SRX1459504,Livestock,Bovine,Animal-Cattle-Dairy Cow,2014,10,,,North America,United States,North Carolina,,,,,,PRJNA292667,SRP066916,SAMN04293422,SRS1186833,B1,,fimH54
ESC_CA4503AA,FSIS 210119424,FDA,Escherichia coli,,,,,,,,,12/12/15,3/12/15,ESC_CA4503AA,SRR2970276;ILLUMINA;Paired;;SRX1459503,Livestock,Swine,Animal-Swine-Sow,2014,10,,,North America,United States,Pennsylvania,,,,,,PRJNA292667,SRP066916,SAMN04293421,SRS1186834,B1,B1,fimH54
ESC_CA4547AA,FSIS 210115773,FDA,Escherichia coli,,,,,,,,,12/12/15,3/12/15,ESC_CA4547AA,SRR2970232;ILLUMINA;Paired;;SRX1459459,Livestock,Bovine,Animal-Cattle-Steer,2014,9,,,North America,United States,Florida,,,,,,PRJNA292667,SRP066916,SAMN04293377,SRS1186879,B1,B1,fimH1157
ESC_CA4548AA,FSIS 210115772,FDA,Escherichia coli,,,,,,,,,12/12/15,3/12/15,ESC_CA4548AA,SRR2970231;ILLUMINA;Paired;;SRX1459458,Livestock,Swine,Animal-Swine-Sow,2014,9,,,North America,United States,Tennessee,,,,,,PRJNA292667,SRP066916,SAMN04293376,SRS1186881,B1,,fimH35
ESC_CA4559AA,FSIS 210093102,FDA,Escherichia coli,,,,,,,,,12/12/15,3/12/15,ESC_CA4559AA,SRR2970220;ILLUMINA;Paired;;SRX1459447,Livestock,Bovine,Animal-Cattle-Dairy Cow,2014,5,,,North America,United States,Florida,,,,,,PRJNA292667,SRP066916,SAMN04293365,SRS1186891,B1,B1,fimH24
ESC_CA4574AA,FSIS 210129768,FDA,Escherichia coli,,,,,,,,,12/12/15,3/12/15,ESC_CA4574AA,SRR2970205;ILLUMINA;Paired;;SRX1459432,Livestock,Swine,Animal-Swine-Market Swine,2014,12,,,North America,United States,Michigan,,,,,,PRJNA292667,SRP066916,SAMN04293350,SRS1186906,B1,B1,fimH53
ESC_CA4586AA,FSIS 210128129,FDA,Escherichia coli,,,,,,,,,12/12/15,3/12/15,ESC_CA4586AA,SRR2970193;ILLUMINA;Paired;;SRX1459420,Livestock,Swine,Animal-Swine-Sow,2014,12,,,North America,United States,Iowa,,,,,,PRJNA292667,SRP066916,SAMN04293337,SRS1186918,B1,B1,fimH30
ESC_CA4593AA,FSIS 210128122,FDA,Escherichia coli,,,,,,,,,12/12/15,3/12/15,ESC_CA4593AA,SRR2970186;ILLUMINA;Paired;;SRX1459413,Livestock,Bovine,Animal-Cattle-Beef Cow,2014,12,,,North America,United States,Minnesota,,,,,,PRJNA292667,SRP066916,SAMN04293330,SRS1186924,B1,,fimH24
ESC_CA4622AA,FSIS 210133186,FDA,Escherichia coli,,,,,,,,,12/12/15,3/12/15,ESC_CA4622AA,SRR2970157;ILLUMINA;Paired;;SRX1459384,Livestock,Bovine,Animal-Cattle-Steer,2014,3,,,North America,United States,Nebraska,,,,,,PRJNA292667,SRP066916,SAMN04293301,SRS1186954,B1,B1,fimH53
ESC_CA6032AA,AZ-TG-WCHI-2,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,5/2/16,1/1/15,ESC_CA6032AA,SRR3136837;ILLUMINA;Paired;500;SRX1555415,Environment,Water/River,Untreated wastewater,2014,10,,,North America,United States,Arizona,,,,,,PRJNA230968,SRP038995,SAMN04448144,SRS1271142,B1,B1,fimH32
ESC_CA6082AA,AZ-TG-713-2,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,9/2/16,1/1/15,ESC_CA6082AA,SRR3156776;ILLUMINA;Paired;500;SRX1567950,Environment,Water/River,Potable Source Water,2014,10,,,North America,United States,Arizona,,,,,,PRJNA230968,SRP038995,SAMN04450992,SRS1281884,B1,,Unknown
ESC_CA6090AA,AZ-TG-WCHI-10,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,9/2/16,1/1/15,ESC_CA6090AA,SRR3156766;ILLUMINA;Paired;500;SRX1567935,Environment,Water/River,Untreated wastewater,2014,10,,,North America,United States,Arizona,,,,,,PRJNA230968,SRP038995,SAMN04450981,SRS1281882,B1,B1,fimH32
ESC_CA6903AA,AZ-TG-WCHI-4-2,FDA Center for Food Safety and Applied Nutrition,Escherichia coli,,,,,,,,,21/2/16,1/1/15,ESC_CA6903AA,SRR3173518;ILLUMINA;Paired;500;SRX1585713,Environment,Water/River,Untreated wastewater,2014,10,,,North America,United States,Arizona,,,,,,PRJNA230968,SRP038995,SAMN04450985,SRS1296805,B1,,fimH32
