#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
111396	contig00035	3094	3330	-	cvi	1-237/237	===============	0/0	100	100	colv		cvi	
111396	contig00035	3308	3619	-	cvaC	1-312/312	===============	0/0	100	100	colv		cvaC	
111396	contig00035	3789	5903	-	cvaB	1-2115/2115	===============	0/0	100	99.91	colv		cvaB	
111396	contig00035	5878	6789	-	cvaA	1-912/912	===============	0/0	100	100	colv		cvaA	
111396	contig00035	11066	13243	-	iroN	1-2178/2178	===============	0/0	100	99.95	colv		iroN	
111396	contig00035	13288	14244	-	iroE	1-957/957	===============	0/0	100	100	colv		iroE	
111396	contig00035	14329	15558	-	iroD	1-1230/1230	===============	0/0	100	99.92	colv		iroD	
111396	contig00035	15662	19447	-	iroC	1-3786/3786	===============	0/0	100	99.84	colv		iroC	
111396	contig00035	19461	20624	-	iroB	1-1164/1164	===============	0/0	100	100	colv		iroB	
111396	contig00035	32286	33656	-	etsC	1-1371/1371	===============	0/0	100	100	colv		etsC	
111396	contig00035	33660	35600	-	etsB	1-1941/1941	===============	0/0	100	99.95	colv		etsB	
111396	contig00035	35597	35974	-	etsA	1-378/378	===============	0/0	100	98.94	colv		etsA	
111396	contig00035	41066	42019	-	ompT	1-954/954	===============	0/0	100	100	colv		ompT	
111396	contig00035	42780	44532	-	hlyF	1-1754/1754	========/======	1-Jan	99.94	99.37	colv		hlyF	
111396	contig00055	597	2798	-	iutA	1-2202/2202	===============	0/0	100	99.91	colv		iutA	
111396	contig00055	2880	4157	-	iucD	1-1278/1278	===============	0/0	100	99.92	colv		iucD	
111396	contig00055	4154	5896	-	iucC	1-1743/1743	===============	0/0	100	99.94	colv		iucC	
111396	contig00055	5896	6843	-	iucB	1-948/948	===============	0/0	100	99.89	colv		iucB	
111396	contig00055	6844	8625	-	iucA	1-1782/1782	===============	0/0	100	99.89	colv		iucA	
111396	contig00055	11900	12757	-	sitD	1-858/858	===============	0/0	100	99.88	colv		sitD	
111396	contig00055	12776	13611	-	sitC	1-837/837	========/======	1-Jan	99.88	99.52	colv		sitC	
111396	contig00055	13608	14435	-	sitB	1-828/828	===============	0/0	100	100	colv		sitB	
111396	contig00055	14435	15349	-	sitA	1-915/915	===============	0/0	100	99.02	colv		sitA	
111396	contig00061	4531	4820	-	cvaB	1826-2115/2115	............===	0/0	13.71	91.03	colv		cvaB	
