#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
103764.fasta	contig00073	63	194	-	gb|CP014489.1|:130176-132039	1733-1864/1864	.............==	0/0	7.08	97.73	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
103764.fasta	contig00111	1	156	-	gb|CP014489.1|:130176-132039	1-156/1864	==.............	0/0	8.37	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
103764.fasta	contig00115	4953	5079	+	gb|CP014489.1|:130176-132039	1738-1864/1864	.............==	0/0	6.81	98.42	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
103764.fasta	contig00121	1	226	+	gb|CP014489.1|:130176-132039	927-1152/1864	.......===.....	0/0	12.12	99.56	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
103764.fasta	contig00126	3776	3897	+	gb|CP014489.1|:130176-132039	1743-1864/1864	..............=	0/0	6.55	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
103764.fasta	contig00133	1	127	+	gb|CP014489.1|:130176-132039	1005-1131/1864	........==.....	0/0	6.81	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
103764.fasta	contig00135	2717	2943	-	gb|CP014489.1|:130176-132039	927-1153/1864	.......===.....	0/0	12.18	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
103764.fasta	contig00144	5	134	-	gb|CP014489.1|:130176-132039	1735-1864/1864	.............==	0/0	6.97	99.23	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
103764.fasta	contig00156	6	127	-	gb|CP014489.1|:130176-132039	1743-1864/1864	..............=	0/0	6.55	99.18	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
103764.fasta	contig00156	1418	1540	+	gb|CP014489.1|:130176-132039	1742-1864/1864	..............=	0/0	6.60	99.19	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
103764.fasta	contig00170	1	1024	-	gb|CP014489.1|:130176-132039	30-1053/1864	=========......	0/0	54.94	99.90	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
103764.fasta	contig00181	1	621	+	gb|CP014489.1|:130176-132039	1027-1646/1864	.......=/=====.	3/3	33.21	75.24	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
103764.fasta	contig00191	1	65	+	gb|CP014489.1|:130176-132039	1800-1864/1864	..............=	0/0	3.49	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
103764.fasta	contig00232	1	127	-	gb|CP014489.1|:130176-132039	30-156/1864	==.............	0/0	6.81	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
111396.fasta	contig00058	12127	13990	+	gb|CP014489.1|:130176-132039	1-1864/1864	===============	0/0	100.00	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
111396.fasta	contig00089	5	127	-	gb|CP014489.1|:130176-132039	1742-1864/1864	..............=	0/0	6.60	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
111396.fasta	contig00100	5	127	-	gb|CP014489.1|:130176-132039	1742-1864/1864	..............=	0/0	6.60	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
111396.fasta	contig00100	1611	1732	+	gb|CP014489.1|:130176-132039	1743-1864/1864	..............=	0/0	6.55	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
111396.fasta	contig00116	1	122	+	gb|CP014489.1|:130176-132039	1743-1864/1864	..............=	0/0	6.55	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
111396.fasta	contig00140	6	130	-	gb|CP014489.1|:130176-132039	1740-1864/1864	..............=	0/0	6.71	99.20	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
12zCTX.fasta	contig00027	63685	63806	+	gb|CP014489.1|:130176-132039	1743-1864/1864	..............=	0/0	6.55	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
142661.fasta	contig00059	1	127	+	gb|CP014489.1|:130176-132039	1031-1154/1864	.......=/=.....	1/3	6.65	97.64	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
142661.fasta	contig00104	567	1723	+	gb|CP014489.1|:130176-132039	1-1154/1864	========/=.....	1/3	61.91	99.74	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
142661.fasta	contig00105	126	247	+	gb|CP014489.1|:130176-132039	1743-1864/1864	..............=	0/0	6.55	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
142661.fasta	contig00131	6	842	-	gb|CP014489.1|:130176-132039	1031-1864/1864	.......=/======	1/3	44.74	99.64	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
142897.fasta	contig00079	6	1869	-	gb|CP014489.1|:130176-132039	1-1864/1864	===============	0/0	100.00	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
142897.fasta	contig00115	6	127	-	gb|CP014489.1|:130176-132039	1743-1864/1864	..............=	0/0	6.55	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
142897.fasta	contig00122	1159	1288	+	gb|CP014489.1|:130176-132039	1735-1864/1864	.............==	0/0	6.97	98.46	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
142897.fasta	contig00145	699	820	-	gb|CP014489.1|:130176-132039	1743-1864/1864	..............=	0/0	6.55	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
142897.fasta	contig00217	127	249	+	gb|CP014489.1|:130176-132039	1742-1864/1864	..............=	0/0	6.60	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
1541m1.fasta	contig00042	33811	33939	+	gb|CP014489.1|:130176-132039	1736-1864/1864	.............==	0/0	6.92	98.45	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00054	19363	19484	+	gb|CP014489.1|:130176-132039	1743-1864/1864	..............=	0/0	6.55	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00062	12085	12199	+	gb|CP014489.1|:130176-132039	1739-1853/1864	.............==	0/0	6.17	99.13	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00074	6092	6201	+	gb|CP014489.1|:130176-132039	1743-1852/1864	..............=	0/0	5.90	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00086	4571	4680	+	gb|CP014489.1|:130176-132039	1742-1851/1864	..............=	0/0	5.90	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00088	1	111	-	gb|CP014489.1|:130176-132039	1742-1852/1864	..............=	0/0	5.95	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00088	4497	4605	+	gb|CP014489.1|:130176-132039	1743-1851/1864	..............=	0/0	5.85	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00092	1	109	-	gb|CP014489.1|:130176-132039	1743-1851/1864	..............=	0/0	5.85	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00092	110	199	-	gb|CP014489.1|:130176-132039	1743-1832/1864	..............=	0/0	4.83	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00092	4039	4147	+	gb|CP014489.1|:130176-132039	1743-1851/1864	..............=	0/0	5.85	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00096	3147	3257	+	gb|CP014489.1|:130176-132039	1743-1853/1864	..............=	0/0	5.95	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00109	2116	2223	+	gb|CP014489.1|:130176-132039	1742-1849/1864	..............=	0/0	5.79	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00113	1414	1961	-	gb|CP014489.1|:130176-132039	809-1354/1864	......==/===...	2/6	29.18	87.82	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00124	1	110	+	gb|CP014489.1|:130176-132039	1044-1153/1864	........==.....	0/0	5.90	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00127	1212	1321	+	gb|CP014489.1|:130176-132039	1743-1852/1864	..............=	0/0	5.90	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00133	1142	1258	+	gb|CP014489.1|:130176-132039	1735-1851/1864	.............==	0/0	6.28	98.29	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00141	204	1122	+	gb|CP014489.1|:130176-132039	1-919/1864	========.......	0/0	49.30	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00186	330	439	+	gb|CP014489.1|:130176-132039	1742-1851/1864	..............=	0/0	5.90	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00193	244	366	-	gb|CP014489.1|:130176-132039	809-931/1864	......==.......	0/0	6.60	99.19	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00196	209	331	+	gb|CP014489.1|:130176-132039	1742-1864/1864	..............=	0/0	6.60	99.19	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00216	1	108	-	gb|CP014489.1|:130176-132039	1743-1850/1864	..............=	0/0	5.79	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00227	1	112	-	gb|CP014489.1|:130176-132039	1742-1853/1864	..............=	0/0	6.01	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1541m1.fasta	contig00235	1	108	-	gb|CP014489.1|:130176-132039	1743-1850/1864	..............=	0/0	5.79	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
1553m1.fasta	contig00045	198	326	-	gb|CP014489.1|:130176-132039	1736-1864/1864	.............==	0/0	6.92	98.45	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1553m1.fasta	contig00057	22	143	-	gb|CP014489.1|:130176-132039	1743-1864/1864	..............=	0/0	6.55	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1553m1.fasta	contig00058	47	169	-	gb|CP014489.1|:130176-132039	1742-1864/1864	..............=	0/0	6.60	99.19	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1553m1.fasta	contig00066	1	115	-	gb|CP014489.1|:130176-132039	1739-1853/1864	.............==	0/0	6.17	99.13	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1553m1.fasta	contig00093	1	112	-	gb|CP014489.1|:130176-132039	1742-1853/1864	..............=	0/0	6.01	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1553m1.fasta	contig00098	1	109	-	gb|CP014489.1|:130176-132039	1743-1851/1864	..............=	0/0	5.85	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
1553m1.fasta	contig00098	3949	4038	+	gb|CP014489.1|:130176-132039	1743-1832/1864	..............=	0/0	4.83	100.00	848		gb|CP014489.1|:130176-132039 Escherichia coli strain G749 plasmid pG749_1 complete sequence	
