Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc
group_10408,,hypothetical protein,753,753,1,983,5781,,,,254,419,400
fumE,,Fumarase E,753,753,1,983,3774,,,,443,509,508
group_10521,,hypothetical protein,753,753,1,983,3735,,,,200,341,310
otnK,,3-oxo-tetronate kinase,753,753,1,983,3499,,,,479,1379,1259
hypE,,Carbamoyl dehydratase HypE,753,753,1,983,3447,,,,248,1010,1008
group_10565,,hypothetical protein,753,753,1,983,26936,,,,170,356,355
ilvI,,Acetolactate synthase isozyme 3 large subunit,753,753,1,983,14653,,,,1514,1724,1723
csrD,,RNase E specificity factor CsrD,753,753,1,983,4255,,,,527,1940,1924
napG,,Ferredoxin-type protein NapG,753,753,1,983,19648,,,,512,695,694
zitB,,Zinc transporter ZitB,753,753,1,983,30058,,,,413,941,939
pilQ,,Type IV pilus biogenesis and competence protein PilQ,753,753,1,983,32021,,,,803,1208,1206
mak,,Fructokinase,753,753,1,983,20638,,,,497,1007,907
ulaE_1,,L-ribulose-5-phosphate 3-epimerase UlaE,753,753,1,983,5800,,,,674,854,851
uvrA,,UvrABC system protein A,753,753,1,983,3038,,,,1742,2822,2817
bcr,,Bicyclomycin resistance protein,753,753,1,983,16870,,,,881,1190,1188
nupX,,Putative nucleoside permease NupX,753,753,1,983,16841,,,,494,1250,1248
group_10903,,Epimerase family protein,753,753,1,983,19521,,,,422,893,892
fbpC2,,Fe(3+) ions import ATP-binding protein FbpC 2,753,753,1,983,26840,,,,230,653,652
group_11037,,hypothetical protein,753,753,1,983,9115,,,,221,299,298
ribD,,Riboflavin biosynthesis protein RibD,753,753,1,983,20659,,,,515,1103,1101
recG,,ATP-dependent DNA helicase RecG,753,753,1,983,5262,,,,221,2081,2075
panC,,Pantothenate synthetase,753,753,1,983,12382,,,,209,851,849
pepT,,Peptidase T,753,753,1,983,25707,,,,407,1298,1227
amiC,,N-acetylmuramoyl-L-alanine amidase AmiC,753,753,1,983,3589,,,,995,1253,1252
cysJ,,Sulfite reductase [NADPH] flavoprotein alpha-component,753,753,1,983,3543,,,,389,1799,1793
ecdB,,putative UbiX-like flavin prenyltransferase,753,753,1,983,3507,,,,242,593,592
ydhW,,putative protein YdhW,753,753,1,983,26955,,,,602,704,638
group_11940,,hypothetical protein,753,753,1,983,27018,,,,332,590,578
murP,,PTS system N-acetylmuramic acid-specific EIIBC component,753,753,1,983,19335,,,,173,1424,1420
pbpC,,Penicillin-binding protein 1C,753,753,1,983,18922,,,,359,2312,2308
ybiV,,Sugar phosphatase YbiV,753,753,1,983,29389,,,,509,815,814
group_11982,,hypothetical protein,753,753,1,983,29216,,,,1286,1658,1657
cydD,,ATP-binding/permease protein CydD,753,753,1,983,29131,,,,242,1766,1759
group_11988,,hypothetical protein,753,753,1,983,28656,,,,545,692,691
elfG_2,,putative fimbrial-like protein ElfG,753,753,1,983,28612,,,,926,1070,1068
group_12005,,hypothetical protein,753,753,1,983,25999,,,,782,1127,1124
recR,,Recombination protein RecR,753,753,1,983,20730,,,,362,605,603
tnaB,,Low affinity tryptophan permease,753,753,1,983,4817,,,,758,1247,1246
yrdA_1,,Protein YrdA,753,753,1,983,14573,,,,392,590,589
caiC,,Crotonobetaine/carnitine--CoA ligase,753,753,1,983,14575,,,,1469,1553,1552
folA,,Dihydrofolate reductase,753,753,1,983,14684,,,,479,614,588
nanK,,N-acetylmannosamine kinase,753,753,1,983,4286,,,,218,875,871
sucB,,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,753,753,1,983,30078,,,,407,1217,1214
trmH_2,,tRNA (guanosine(18)-2'-O)-methyltransferase,753,753,1,983,6409,,,,350,686,685
group_12112,,hypothetical protein,753,753,1,983,6575,,,,377,1280,1278
fic,,putative protein adenylyltransferase Fic,753,753,1,983,31985,,,,392,602,600
mrcA,,Penicillin-binding protein 1A,753,753,1,983,32027,,,,347,2552,2547
malQ,,4-alpha-glucanotransferase,753,753,1,983,32053,,,,611,2084,2082
lacZ,,Beta-galactosidase,753,753,1,983,20568,,,,242,3074,3063
mhpE,,4-hydroxy-2-oxovalerate aldolase,753,753,1,983,20580,,,,302,1013,1011
flgB,,Flagellar basal body rod protein FlgB,753,753,1,983,25635,,,,344,452,415
yceJ,,Cytochrome b561 ,753,753,1,983,25615,,,,314,566,565
csgG,,Curli production assembly/transport component CsgG,753,753,1,983,25596,,,,632,833,832
clcD,,Carboxymethylenebutenolidase,753,753,1,983,7499,,,,392,815,813
group_12189,,hypothetical protein,753,753,1,983,7496,,,,878,1427,1426
ulaF,,L-ribulose-5-phosphate 4-epimerase UlaF,753,753,1,983,5801,,,,575,686,685
group_12193,,hypothetical protein,753,753,1,983,5782,,,,98,698,691
